2001 super output areas - lower layer,mnemonic,"22 : Publishing, printing and reproduction of recorded media",,24 : Manufacture of chemicals and chemical products,,30 : Manufacture of office machinery and computers,,"32 : Manufacture of radio, television and communication equipment and apparatus",,"33 : Manufacture of medical, precision and optical instruments, watches and clocks",,"50 : Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel",,"51 : Wholesale trade and commission trade, except of motor vehicles and motorcycles",,64 : Post and telecommunications,,"65 : Financial intermediation, except insurance and pension funding",,"66 : Insurance and pension funding, except compulsory social security",,67 : Activities auxiliary to financial intermediation,,72 : Computer and related activites,,73 : Research and development,,74 : Other business activities,,75 : Public administration and defence; compulsory social security,,80 : Education,,85 : Health and social work,,"92 : Recreational, cultural and sporting activities"
Camden 001A,E01000907,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,10,,0,,0,,0,,15
Camden 001B,E01000908,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,15,,0,,15,,0,,20,,35,,15
Camden 001C,E01000909,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,5,,0,,60,,0,,5,,10,,25
Camden 001D,E01000912,0,,0,,0,,0,,0,,10,,50,,50,,0,,0,,0,,10,,0,,60,,0,,350,,100,,75
Camden 001E,E01000913,15,,0,,0,,0,,0,,0,,30,,0,,5,,0,,0,,40,,0,,90,,0,,30,,25,,75
Camden 002E,E01000899,0,,0,,0,,0,,0,,5,,20,,0,,0,,0,,5,,35,,5,,120,,0,,50,,35,,25
Camden 002A,E01000893,5,,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,20,,5,,40,,0,,0,,25,,20
Camden 002B,E01000894,0,,0,,0,,0,,0,,0,,5,,175,,45,,0,,0,,5,,0,,140,,0,,75,,40,,20
Camden 002C,E01000895,5,,0,,0,,0,,0,,0,,20,,30,,45,,0,,10,,25,,0,,150,,15,,0,,100,,30
Camden 002D,E01000896,5,,0,,0,,0,,0,,0,,25,,0,,20,,0,,5,,10,,0,,60,,0,,5,,20,,45
Camden 003A,E01000910,0,,0,,0,,0,,0,,0,,10,,0,,0,,0,,0,,5,,0,,30,,0,,150,,5,,50
Camden 003B,E01000911,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,15,,0,,0,,5,,15
Camden 003D,E01000923,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,25,,0,,0,,100,,20
