2011 super output area - lower layer,mnemonic,21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations,,"26 : Manufacture of computer, electronic and optical products"
Camden 001A,E01000907,0,,0
Camden 001B,E01000908,0,,0
Camden 001C,E01000909,0,,0
Camden 001D,E01000912,0,,0
Camden 001E,E01000913,0,,0
Camden 002A,E01000893,0,,0
Camden 002B,E01000894,0,,0
Camden 002C,E01000895,0,,0
Camden 002D,E01000896,0,,0
Camden 002E,E01000899,0,,0
Camden 003A,E01000910,0,,0
Camden 003B,E01000911,0,,5
Camden 003C,E01000921,0,,0
Camden 003D,E01000923,0,,0
Camden 003E,E01000928,0,,0
Camden 004A,E01000878,0,,0
Camden 004B,E01000879,0,,0
Camden 004C,E01000880,0,,0
Camden 004D,E01000884,0,,0
Camden 004E,E01000885,0,,0
Camden 005A,E01000871,0,,0
Camden 005B,E01000872,0,,0
Camden 005C,E01000873,0,,0
Camden 005D,E01000874,0,,0
Camden 005E,E01000877,0,,0
Camden 006A,E01000886,0,,0
Camden 006B,E01000887,0,,0
Camden 006C,E01000888,0,,0
Camden 006D,E01000892,0,,0
Camden 006E,E01000903,0,,0
Camden 007A,E01000889,0,,0
Camden 007B,E01000890,0,,5
Camden 007C,E01000891,0,,0
Camden 007D,E01000901,0,,0
Camden 007E,E01000922,0,,0
Camden 007F,E01000927,0,,0
Camden 008A,E01000881,0,,0
Camden 008B,E01000882,0,,0
Camden 008C,E01000883,0,,0
Camden 008D,E01000897,0,,0
Camden 008E,E01000898,0,,0
Camden 009A,E01000866,0,,0
Camden 009B,E01000870,0,,0
Camden 009C,E01000924,0,,5
Camden 009D,E01000925,0,,15
Camden 009E,E01000926,0,,0
Camden 010A,E01000969,0,,0
Camden 010B,E01000970,0,,0
Camden 010C,E01000971,0,,0
Camden 010D,E01000972,0,,0
Camden 010E,E01000973,0,,0
Camden 011A,E01000842,0,,0
Camden 011B,E01000844,0,,0
Camden 011C,E01000848,0,,0
Camden 011D,E01000849,0,,0
Camden 012A,E01000900,0,,0
Camden 012B,E01000902,0,,0
Camden 012C,E01000904,0,,0
Camden 012D,E01000905,0,,0
Camden 012E,E01000906,0,,0
Camden 013A,E01000875,0,,0
Camden 013B,E01000876,0,,0
Camden 013C,E01000931,0,,0
Camden 013D,E01000932,0,,0
Camden 013E,E01000974,0,,0
Camden 014A,E01000843,0,,0
Camden 014B,E01000845,0,,0
Camden 014C,E01000846,0,,0
Camden 014D,E01000847,0,,0
Camden 015A,E01000864,0,,0
Camden 015B,E01000865,0,,0
Camden 015C,E01000867,0,,0
Camden 015D,E01000868,0,,0
Camden 015E,E01000869,0,,0
Camden 016A,E01000962,0,,0
Camden 016B,E01000964,0,,0
Camden 016C,E01000965,0,,0
Camden 016D,E01000966,0,,0
Camden 016E,E01000968,0,,0
Camden 017A,E01000960,0,,0
Camden 017B,E01000961,0,,0
Camden 017C,E01000963,0,,0
Camden 017D,E01000967,0,,0
Camden 018A,E01000857,0,,0
Camden 018B,E01000858,5,,0
Camden 018C,E01000859,0,,0
Camden 018D,E01000860,0,,0
Camden 018E,E01000862,0,,0
Camden 019A,E01000856,0,,0
Camden 019B,E01000861,0,,0
Camden 019C,E01000957,0,,0
Camden 019D,E01000958,0,,0
Camden 019E,E01000959,0,,0
Camden 020A,E01000929,0,,0
Camden 020B,E01000930,0,,5
Camden 020C,E01000933,0,,0
Camden 020D,E01000934,0,,0
Camden 020E,E01000935,0,,0
Camden 021A,E01000863,0,,0
Camden 021B,E01000946,0,,20
Camden 021C,E01000947,0,,0
Camden 021D,E01000948,0,,0
Camden 022A,E01000952,0,,0
Camden 022B,E01000953,0,,0
Camden 022C,E01000954,0,,0
Camden 022D,E01000955,0,,0
Camden 022E,E01000956,0,,0
Camden 023A,E01000944,0,,0
Camden 023B,E01000945,0,,0
Camden 023C,E01000949,0,,0
Camden 023D,E01000950,0,,0
Camden 023E,E01000951,0,,0
Camden 024A,E01000936,0,,0
Camden 024B,E01000938,20,,0
Camden 024C,E01000939,0,,0
Camden 024D,E01000940,0,,0
Camden 025A,E01000853,0,,0
Camden 025B,E01000937,0,,0
Camden 025C,E01000941,0,,0
Camden 025D,E01000942,0,,0
Camden 025E,E01000943,0,,0
Camden 026A,E01000850,0,,0
Camden 026B,E01000851,0,,5
Camden 026C,E01000852,0,,0
Camden 026D,E01000854,0,,5
Camden 027A,E01000915,0,,5
Camden 027B,E01000916,0,,5
Camden 027C,E01000917,0,,5
Camden 027D,E01000920,0,,15
Camden 028A,E01000855,0,,0
Camden 028B,E01000914,5,,35
Camden 028C,E01000918,0,,60
Camden 028D,E01000919,0,,0
City of London 001A,E01000001,0,,0
City of London 001B,E01000002,0,,0
City of London 001C,E01000003,15,,0
City of London 001E,E01000005,0,,5
City of London 001F,E01032739,5,,160
City of London 001G,E01032740,5,,35
Hackney 001A,E01001808,0,,0
Hackney 001B,E01001809,0,,0
Hackney 001C,E01001814,0,,0
Hackney 001D,E01001823,0,,0
Hackney 001E,E01001825,0,,0
Hackney 002A,E01001714,0,,0
Hackney 002D,E01001811,0,,0
Hackney 002E,E01001813,0,,0
Hackney 002F,E01033701,0,,0
Hackney 003A,E01001799,0,,0
Hackney 003B,E01001802,0,,0
Hackney 003C,E01001804,0,,0
Hackney 003D,E01001807,0,,0
Hackney 003E,E01001812,0,,0
Hackney 004A,E01001725,0,,0
Hackney 004B,E01001726,0,,0
Hackney 004C,E01001800,0,,0
Hackney 004D,E01001824,0,,0
Hackney 004E,E01001826,0,,0
Hackney 006A,E01001723,0,,0
Hackney 006B,E01001724,0,,0
Hackney 006C,E01001727,0,,0
Hackney 006D,E01001768,0,,0
Hackney 006E,E01001769,0,,0
Hackney 007A,E01001715,0,,0
Hackney 007B,E01001716,0,,0
Hackney 007C,E01001717,0,,0
Hackney 007D,E01001718,0,,0
Hackney 007E,E01001719,0,,0
Hackney 007F,E01001720,0,,0
Hackney 008A,E01001742,0,,0
Hackney 008B,E01001801,0,,0
Hackney 008C,E01001803,0,,0
Hackney 008D,E01001806,0,,0
Hackney 009A,E01001741,0,,0
Hackney 009B,E01001805,0,,0
Hackney 009C,E01001829,0,,0
Hackney 009D,E01001831,0,,0
Hackney 009E,E01001832,0,,0
Hackney 010A,E01001764,0,,0
Hackney 010B,E01001765,0,,0
Hackney 010D,E01001767,0,,0
Hackney 010E,E01001770,0,,0
Hackney 010F,E01033703,0,,0
Hackney 010G,E01033713,0,,0
Hackney 011A,E01001792,0,,0
Hackney 011B,E01001793,0,,0
Hackney 011C,E01001794,0,,0
Hackney 011D,E01001795,0,,0
Hackney 011E,E01001796,0,,0
Hackney 012A,E01001736,0,,0
Hackney 012B,E01001737,0,,0
Hackney 012C,E01001738,0,,0
Hackney 012D,E01001739,0,,0
Hackney 013A,E01001786,0,,0
Hackney 013B,E01001787,0,,0
Hackney 013C,E01001788,0,,0
Hackney 013D,E01001790,0,,0
Hackney 014A,E01001740,0,,0
Hackney 014B,E01001747,0,,0
Hackney 014C,E01001830,0,,0
Hackney 014D,E01001833,0,,0
Hackney 014E,E01001834,0,,0
Hackney 014F,E01001835,0,,0
Hackney 015A,E01001733,0,,0
Hackney 015B,E01001785,0,,0
Hackney 015C,E01001789,0,,0
Hackney 015D,E01001791,0,,0
Hackney 016A,E01001745,0,,0
Hackney 016B,E01001746,0,,0
Hackney 016C,E01001757,0,,0
Hackney 016D,E01001758,0,,0
Hackney 016E,E01001759,0,,0
Hackney 016F,E01001761,0,,0
Hackney 017A,E01001731,0,,0
Hackney 017B,E01001734,0,,0
Hackney 017C,E01001760,0,,0
Hackney 017D,E01001762,0,,0
Hackney 018A,E01001846,0,,0
Hackney 018B,E01001847,0,,0
Hackney 018C,E01001848,0,,0
Hackney 018D,E01001849,0,,5
Hackney 019A,E01001729,0,,0
Hackney 019B,E01001730,0,,0
Hackney 019C,E01001732,0,,0
Hackney 019D,E01001735,0,,0
Hackney 019E,E01001838,0,,0
Hackney 019F,E01001850,0,,0
Hackney 020A,E01001748,0,,0
Hackney 020B,E01001749,0,,0
Hackney 020C,E01001763,0,,0
Hackney 020D,E01001816,0,,0
Hackney 020E,E01001819,0,,0
Hackney 021B,E01001744,0,,0
Hackney 021C,E01001750,0,,0
Hackney 021D,E01001751,0,,0
Hackney 021E,E01001756,0,,0
Hackney 021F,E01033698,0,,0
Hackney 021G,E01033699,0,,0
Hackney 021H,E01033700,0,,0
Hackney 021I,E01033707,0,,0
Hackney 022A,E01001836,0,,0
Hackney 022B,E01001840,0,,0
Hackney 022C,E01001841,0,,0
Hackney 022D,E01001844,0,,0
Hackney 022E,E01001845,0,,0
Hackney 023B,E01001837,0,,0
Hackney 023C,E01001839,0,,0
Hackney 023D,E01001842,0,,0
Hackney 023E,E01001843,0,,0
Hackney 023F,E01033704,0,,5
Hackney 023G,E01033712,0,,0
Hackney 024A,E01001772,0,,0
Hackney 024B,E01001774,0,,0
Hackney 024C,E01001775,0,,0
Hackney 024D,E01001815,0,,0
Hackney 024E,E01001820,0,,0
Hackney 024F,E01001821,0,,0
Hackney 025A,E01001752,0,,0
Hackney 025B,E01001753,0,,0
Hackney 025C,E01001754,0,,75
Hackney 025D,E01001755,0,,0
Hackney 025E,E01001773,0,,0
Hackney 025F,E01001776,0,,0
Hackney 026A,E01001779,0,,35
Hackney 026B,E01001781,0,,0
Hackney 026C,E01001782,0,,0
Hackney 026D,E01001783,0,,0
Hackney 027B,E01001777,0,,0
Hackney 027D,E01001780,0,,50
Hackney 027E,E01001784,0,,0
Hackney 027F,E01033706,0,,0
Hackney 027G,E01033708,0,,20
Hackney 027H,E01033709,0,,0
Hackney 027I,E01033711,0,,110
Hackney 028A,E01001798,0,,0
Hackney 028B,E01001828,0,,0
Hackney 028C,E01033702,0,,0
Hackney 028D,E01033705,0,,0
Hackney 028E,E01033710,0,,0
Hackney 029A,E01001722,0,,0
Hackney 029B,E01001728,0,,0
Hackney 029C,E01001822,0,,0
Hackney 029D,E01001827,0,,0
Hammersmith and Fulham 001A,E01001874,0,,0
Hammersmith and Fulham 001B,E01001875,0,,0
Hammersmith and Fulham 001C,E01001876,0,,0
Hammersmith and Fulham 001D,E01001877,0,,5
Hammersmith and Fulham 001E,E01001878,0,,0
Hammersmith and Fulham 002A,E01001955,0,,0
Hammersmith and Fulham 002B,E01001957,0,,0
Hammersmith and Fulham 002C,E01001958,0,,0
Hammersmith and Fulham 002D,E01001961,0,,0
Hammersmith and Fulham 003A,E01001954,0,,0
Hammersmith and Fulham 003B,E01001956,0,,0
Hammersmith and Fulham 003C,E01001959,0,,0
Hammersmith and Fulham 003D,E01001960,0,,5
Hammersmith and Fulham 004A,E01001943,0,,10
Hammersmith and Fulham 004B,E01001944,0,,0
Hammersmith and Fulham 004C,E01001945,0,,0
Hammersmith and Fulham 004D,E01001946,0,,0
Hammersmith and Fulham 005A,E01001862,0,,0
Hammersmith and Fulham 005B,E01001940,0,,5
Hammersmith and Fulham 005C,E01001941,0,,0
Hammersmith and Fulham 005D,E01001942,0,,0
Hammersmith and Fulham 006A,E01001858,0,,0
Hammersmith and Fulham 006B,E01001860,0,,0
Hammersmith and Fulham 006C,E01001861,0,,0
Hammersmith and Fulham 006D,E01001863,0,,0
Hammersmith and Fulham 006E,E01001864,0,,0
Hammersmith and Fulham 007A,E01001852,0,,0
Hammersmith and Fulham 007B,E01001853,0,,0
Hammersmith and Fulham 007C,E01001854,0,,0
Hammersmith and Fulham 007D,E01001857,0,,0
Hammersmith and Fulham 008A,E01001859,0,,0
Hammersmith and Fulham 008B,E01001865,0,,5
Hammersmith and Fulham 008C,E01001927,0,,0
Hammersmith and Fulham 008D,E01001930,0,,0
Hammersmith and Fulham 009A,E01001895,0,,0
Hammersmith and Fulham 009B,E01001896,0,,0
Hammersmith and Fulham 009C,E01001897,0,,0
Hammersmith and Fulham 009D,E01001929,0,,0
Hammersmith and Fulham 010A,E01001851,0,,0
Hammersmith and Fulham 010B,E01001855,0,,0
Hammersmith and Fulham 010C,E01001856,0,,0
Hammersmith and Fulham 010D,E01001869,0,,0
Hammersmith and Fulham 010E,E01001873,0,,0
Hammersmith and Fulham 011A,E01001928,0,,0
Hammersmith and Fulham 011B,E01001931,0,,0
Hammersmith and Fulham 011C,E01001932,0,,0
Hammersmith and Fulham 011D,E01001933,0,,0
Hammersmith and Fulham 012A,E01001866,0,,0
Hammersmith and Fulham 012B,E01001867,0,,0
Hammersmith and Fulham 012C,E01001868,0,,0
Hammersmith and Fulham 012D,E01001870,0,,0
Hammersmith and Fulham 012E,E01001871,0,,0
Hammersmith and Fulham 012F,E01001872,0,,0
Hammersmith and Fulham 013A,E01001893,0,,0
Hammersmith and Fulham 013B,E01001894,0,,5
Hammersmith and Fulham 013C,E01001898,0,,40
Hammersmith and Fulham 013D,E01001899,0,,0
Hammersmith and Fulham 013E,E01001900,0,,0
Hammersmith and Fulham 014A,E01001889,0,,0
Hammersmith and Fulham 014B,E01001910,0,,0
Hammersmith and Fulham 014C,E01001913,0,,0
Hammersmith and Fulham 014D,E01001914,0,,0
Hammersmith and Fulham 015A,E01001885,0,,0
Hammersmith and Fulham 015B,E01001908,0,,0
Hammersmith and Fulham 015C,E01001909,0,,0
Hammersmith and Fulham 015D,E01001911,0,,0
Hammersmith and Fulham 015E,E01001912,0,,0
Hammersmith and Fulham 016A,E01001886,0,,0
Hammersmith and Fulham 016B,E01001887,0,,0
Hammersmith and Fulham 016C,E01001890,0,,0
Hammersmith and Fulham 016D,E01001892,0,,0
Hammersmith and Fulham 017A,E01001880,0,,0
Hammersmith and Fulham 017B,E01001881,0,,0
Hammersmith and Fulham 017C,E01001882,0,,0
Hammersmith and Fulham 017D,E01001883,0,,0
Hammersmith and Fulham 017E,E01001884,0,,0
Hammersmith and Fulham 018A,E01001888,0,,0
Hammersmith and Fulham 018B,E01001891,0,,0
Hammersmith and Fulham 018C,E01001917,0,,0
Hammersmith and Fulham 018D,E01001918,0,,0
Hammersmith and Fulham 018E,E01001919,0,,0
Hammersmith and Fulham 019A,E01001879,0,,0
Hammersmith and Fulham 019B,E01001901,0,,0
Hammersmith and Fulham 019C,E01001902,0,,0
Hammersmith and Fulham 019D,E01001903,0,,0
Hammersmith and Fulham 020A,E01001920,0,,0
Hammersmith and Fulham 020B,E01001921,0,,0
Hammersmith and Fulham 020C,E01001922,0,,0
Hammersmith and Fulham 020D,E01001923,0,,30
Hammersmith and Fulham 020E,E01001924,0,,0
Hammersmith and Fulham 021A,E01001947,0,,0
Hammersmith and Fulham 021B,E01001948,0,,0
Hammersmith and Fulham 021C,E01001949,0,,0
Hammersmith and Fulham 021D,E01001950,0,,0
Hammersmith and Fulham 021E,E01001951,0,,0
Hammersmith and Fulham 021F,E01001953,0,,0
Hammersmith and Fulham 022A,E01001904,0,,0
Hammersmith and Fulham 022B,E01001905,0,,10
Hammersmith and Fulham 022C,E01001906,0,,0
Hammersmith and Fulham 022D,E01001907,0,,0
Hammersmith and Fulham 023A,E01001935,0,,0
Hammersmith and Fulham 023C,E01001939,0,,0
Hammersmith and Fulham 023D,E01032788,0,,0
Hammersmith and Fulham 023E,E01032789,0,,0
Hammersmith and Fulham 023F,E01032790,0,,0
Hammersmith and Fulham 024A,E01001915,0,,15
Hammersmith and Fulham 024B,E01001916,0,,0
Hammersmith and Fulham 024C,E01001926,0,,0
Hammersmith and Fulham 024D,E01001952,0,,0
Hammersmith and Fulham 025A,E01001925,0,,0
Hammersmith and Fulham 025B,E01001934,0,,0
Hammersmith and Fulham 025C,E01001937,0,,0
Hammersmith and Fulham 025D,E01001938,0,,0
Haringey 001A,E01001969,0,,0
Haringey 001B,E01001971,0,,0
Haringey 001C,E01001974,0,,0
Haringey 001D,E01001975,0,,0
Haringey 002A,E01002036,0,,0
Haringey 002B,E01002037,0,,0
Haringey 002C,E01002039,0,,0
Haringey 002D,E01002040,0,,0
Haringey 004A,E01001962,0,,0
Haringey 004B,E01001970,0,,0
Haringey 004C,E01001972,0,,0
Haringey 004D,E01001973,0,,0
Haringey 005A,E01002090,0,,0
Haringey 005B,E01002093,0,,0
Haringey 005C,E01002096,0,,0
Haringey 005D,E01002097,0,,0
Haringey 006A,E01002091,0,,0
Haringey 006B,E01002092,0,,0
Haringey 006C,E01002094,0,,0
Haringey 006D,E01002095,0,,0
Haringey 007A,E01002098,0,,0
Haringey 007B,E01002101,0,,0
Haringey 007C,E01002102,0,,0
Haringey 007D,E01002105,0,,0
Haringey 008A,E01002099,0,,0
Haringey 008B,E01002100,0,,0
Haringey 008C,E01002103,0,,0
